,run_name_prefix,scen,year,country,variable,value
0,H2G_A,0.7MtH2export,2050,CD,H2 export bus,0.5303141534088461
8,H2G_A,0.7MtH2export,2050,ET,H2 export bus,0.7597219286239411
16,H2G_A,0.7MtH2export,2050,KE,H2 export bus,69.71347134666544
24,H2G_A,0.7MtH2export,2050,MA,H2 export bus,55.870008852510765
32,H2G_A,0.7MtH2export,2050,NA,H2 export bus,53.620896345869305
40,H2G_A,0.7MtH2export,2050,TN,H2 export bus,95.49831674676
48,H2G_A,2.3MtH2export,2050,CD,H2 export bus,0.5303141547712892
56,H2G_A,2.3MtH2export,2050,ET,H2 export bus,0.7597219288846441
64,H2G_A,2.3MtH2export,2050,KE,H2 export bus,73.55841696364092
72,H2G_A,2.3MtH2export,2050,MA,H2 export bus,66.53992608074938
80,H2G_A,2.3MtH2export,2050,NA,H2 export bus,64.54724994036863
88,H2G_A,2.3MtH2export,2050,TN,H2 export bus,102.05788536643472
96,H2G_A,4.0MtH2export,2050,CD,H2 export bus,0.5303141546987424
104,H2G_A,4.0MtH2export,2050,ET,H2 export bus,0.7597219289041396
112,H2G_A,4.0MtH2export,2050,KE,H2 export bus,73.61615539537284
120,H2G_A,4.0MtH2export,2050,MA,H2 export bus,67.57575529823043
128,H2G_A,4.0MtH2export,2050,NA,H2 export bus,64.7292034865703
136,H2G_A,4.0MtH2export,2050,TN,H2 export bus,107.52487115185907
